OBJECTID,Geographic Identifier,County Name,State Geographic Identifier,State Abbreviation,State Name,Historical - Mean - Annual total precipitation [inches],Historical - Mean - Daily average temperature [degF],Historical - Mean - Daily maximum temperature [degF],Historical - Mean - Annual single highest maximum temperature [degF],Historical - Mean - Daily minimum temperature [degF],Change in mean daily average temperature [DegF],Change in mean daily maximum temperature [DegF],Change in mean daily minimum temperature [DegF],Change in mean annual single highest maximum temperature
1,1001,Autauga County,1,AL,Alabama,54.63594,64.33289488,75.89185,99.37968,52.58838,2.33421054,2.38234,2.15885,3.2086
2,1003,Baldwin County,1,AL,Alabama,63.79805,67.47974557,77.96281,98.0197,56.78389,1.99949161,1.96604,1.93077,2.59677
3,1005,Barbour County,1,AL,Alabama,52.12515,65.1710521,76.89095,99.21846,53.44476,2.23578925,2.27775,2.07063,3.15459
4,1007,Bibb County,1,AL,Alabama,55.13253,62.92000025,75.16388,99.85084,50.65014,2.33613621,2.39127,2.15021,3.06503
5,1009,Blount County,1,AL,Alabama,55.77709,60.70681823,72.76571,98.84455,48.6232,2.27681811,2.3259,2.09726,3.12667
6,1011,Bullock County,1,AL,Alabama,52.60749,64.44390274,76.21256,99.16295,52.65577,2.20073104,2.2603,2.01673,2.93825
7,1013,Butler County,1,AL,Alabama,55.76891,65.22280045,77.13685,99.31398,53.28523,2.3723999,2.40932,2.21614,2.98809
8,1015,Calhoun County,1,AL,Alabama,54.39602,61.19829252,73.09816,98.23087,49.22302,2.32536549,2.40187,2.12371,3.21815
9,1017,Chambers County,1,AL,Alabama,53.84086,62.40243252,74.90105,98.73735,49.82092,2.31216276,2.3681,2.11869,3.16253
10,1019,Cherokee County,1,AL,Alabama,55.787,60.61474981,72.45078,98.56458,48.69237,2.35874958,2.43549,2.15382,3.15963
11,1021,Chilton County,1,AL,Alabama,54.53462,62.92571422,74.84337,99.34552,51.05993,2.21071479,2.25954,2.04568,3.04044
12,1023,Choctaw County,1,AL,Alabama,55.52755,64.72305046,77.05482,99.77364,52.36126,2.21864467,2.24257,2.06673,2.96419
13,1025,Clarke County,1,AL,Alabama,57.7674,65.34063276,77.71008,100.06245,52.98742,2.11367055,2.12442,1.97964,2.85166
14,1027,Clay County,1,AL,Alabama,56.48048,60.59075012,72.89873,97.06785,48.41056,2.42700014,2.48573,2.2297,3.07563
15,1029,Cleburne County,1,AL,Alabama,55.02623,59.81205873,72.33204,97.02548,47.32083,2.28499973,2.3596,2.08891,3.09652
16,1031,Coffee County,1,AL,Alabama,56.26505,65.72804837,77.3053,99.55593,54.15884,2.18512186,2.19582,2.05103,2.83532
17,1033,Colbert County,1,AL,Alabama,56.57323,60.54790683,72.21564,99.1344,48.86924,2.44325594,2.53708,2.23354,3.20836
18,1035,Conecuh County,1,AL,Alabama,59.44161,65.21589252,77.33438,99.33592,53.03949,2.18267877,2.20487,2.04282,2.87934
19,1037,Coosa County,1,AL,Alabama,54.70489,62.16304331,74.48062,98.64238,49.90562,2.29913065,2.34609,2.12003,3.1403
20,1039,Covington County,1,AL,Alabama,59.27463,65.18619089,77.84405,99.75044,52.53175,2.17619082,2.18972,2.03656,2.87776
21,1041,Crenshaw County,1,AL,Alabama,55.45318,64.84416729,76.83649,99.3126,52.8341,2.27666621,2.31002,2.12733,2.8713
22,1043,Cullman County,1,AL,Alabama,57.33938,60.29235271,72.68068,98.93596,47.93248,2.37078439,2.42345,2.18784,3.19008
23,1045,Dale County,1,AL,Alabama,54.82097,66.12216269,77.64256,99.70371,54.55444,2.21378409,2.2472,2.08193,3.06602
24,1047,Dallas County,1,AL,Alabama,53.34647,64.78984136,76.43282,99.81646,53.21787,2.36238056,2.4079,2.1988,3.26268
25,1049,DeKalb County,1,AL,Alabama,55.62954,58.52339619,70.27222,96.85876,46.64209,2.33641505,2.39792,2.14516,3.17606
26,1051,Elmore County,1,AL,Alabama,54.16127,63.63953497,75.45564,98.85746,51.87153,2.26116261,2.32652,2.08045,3.2157
27,1053,Escambia County,1,AL,Alabama,61.7589,65.74593211,78.15655,99.37419,53.30107,2.10881327,2.09733,1.99128,2.77513
28,1055,Etowah County,1,AL,Alabama,54.87009,61.04545443,72.43549,98.7933,49.60708,2.30515162,2.36006,2.1201,3.29213
29,1057,Fayette County,1,AL,Alabama,57.21411,61.07833336,73.89282,99.89335,48.2773,2.17904781,2.25466,1.97455,3.35184
30,1059,Franklin County,1,AL,Alabama,58.4267,60.04904756,72.00374,98.51285,48.06585,2.42857134,2.50387,2.23378,3.25231
31,1061,Geneva County,1,AL,Alabama,56.84432,65.99454591,77.83964,99.65574,54.15664,2.14999944,2.16599,2.01971,2.95885
32,1063,Greene County,1,AL,Alabama,53.18697,63.56317083,75.33798,99.82867,51.79521,2.2060973,2.25852,2.03051,3.17102
33,1065,Hale County,1,AL,Alabama,53.32431,64.33425016,76.05457,100.04721,52.53614,2.2117507,2.25829,2.04837,3.12715
34,1067,Henry County,1,AL,Alabama,53.59511,65.9135138,77.65687,99.97299,54.12565,2.31027036,2.34819,2.14097,3.17225
35,1069,Houston County,1,AL,Alabama,54.8141,66.3655257,78.16147,99.83336,54.56027,2.33026263,2.35485,2.1774,2.9878
36,1071,Jackson County,1,AL,Alabama,57.45713,58.45743231,70.60919,97.40805,46.4107,2.27689181,2.34085,2.0847,3.19049
37,1073,Jefferson County,1,AL,Alabama,56.6767,61.90805562,73.99311,99.55208,49.78832,2.37138849,2.43309,2.17721,3.18068
38,1075,Lamar County,1,AL,Alabama,56.56863,61.27214286,74.20633,100.16331,48.34232,2.31595258,2.40086,2.11458,3.30922
39,1077,Lauderdale County,1,AL,Alabama,56.57726,60.27382985,72.04926,98.97818,48.48264,2.43191479,2.52347,2.22197,3.26616
40,1079,Lawrence County,1,AL,Alabama,56.35184,60.97785714,72.41105,98.8266,49.41954,2.46404775,2.52925,2.27577,3.34714
41,1081,Lee County,1,AL,Alabama,53.26641,62.96871802,75.17376,98.9612,50.87742,2.27538465,2.3405,2.08878,3.11708
42,1083,Limestone County,1,AL,Alabama,56.57424,60.34194427,71.88806,98.96779,48.77615,2.44250012,2.5036,2.26173,3.31244
43,1085,Lowndes County,1,AL,Alabama,52.12024,64.97163282,76.57908,99.40825,53.43489,2.43408172,2.47784,2.26613,3.1198
44,1087,Macon County,1,AL,Alabama,52.93798,63.88702753,75.92162,99.38444,51.84975,2.17540546,2.24427,1.98631,3.05905
45,1089,Madison County,1,AL,Alabama,56.49986,59.87431026,71.46449,98.42882,48.27443,2.46689665,2.5192,2.2881,3.37874
46,1091,Marengo County,1,AL,Alabama,54.21583,64.45671898,76.27611,99.99126,52.65086,2.1934374,2.21207,2.04246,2.9651
47,1093,Marion County,1,AL,Alabama,57.8883,60.20680854,72.86183,99.10619,47.57268,2.45957468,2.52927,2.25196,3.46068
48,1095,Marshall County,1,AL,Alabama,53.88204,60.41400003,71.89293,98.4387,48.92854,2.30224972,2.34751,2.1355,3.27464
49,1097,Mobile County,1,AL,Alabama,64.05863,67.46031895,77.84106,97.87363,56.85053,2.03031889,2.0132,1.97146,2.60151
50,1099,Monroe County,1,AL,Alabama,58.37244,65.3072127,77.27124,99.6508,53.33895,2.17114771,2.18694,2.04333,2.95278
51,1101,Montgomery County,1,AL,Alabama,52.50036,64.94333301,76.40393,99.23346,53.46493,2.35824558,2.40888,2.17916,3.14248
52,1103,Morgan County,1,AL,Alabama,56.28204,60.40899982,72.0968,98.90245,48.67139,2.4897502,2.54117,2.31036,3.35395
53,1105,Perry County,1,AL,Alabama,53.35368,63.99452446,75.78101,99.61882,52.19757,2.31976173,2.36483,2.14409,3.18937
54,1107,Pickens County,1,AL,Alabama,54.238,62.74499979,74.73994,100.17,50.67222,2.23224133,2.2932,2.04285,3.20171
55,1109,Pike County,1,AL,Alabama,53.70042,65.29924965,76.71867,99.38854,53.79635,2.18874988,2.22432,2.03464,2.90927
56,1111,Randolph County,1,AL,Alabama,54.55759,60.88235294,73.63929,97.84387,48.25727,2.33235281,2.40372,2.14127,3.08425
57,1113,Russell County,1,AL,Alabama,50.16634,64.6519047,76.52734,99.44509,52.91997,2.31976118,2.37417,2.14591,3.17492
58,1115,St. Clair County,1,AL,Alabama,55.3867,61.39690472,73.4645,98.73161,49.31907,2.33571379,2.39587,2.14994,3.20386
59,1117,Shelby County,1,AL,Alabama,56.06323,62.6470589,75.01149,99.50375,50.23876,2.28607806,2.34464,2.1077,3.09401
60,1119,Sumter County,1,AL,Alabama,54.49171,63.78474549,75.77985,99.95104,51.78685,2.26474588,2.30866,2.09795,3.10941
61,1121,Talladega County,1,AL,Alabama,54.71403,62.04666646,74.51257,98.90682,49.47046,2.37377794,2.43209,2.17904,3.19486
62,1123,Tallapoosa County,1,AL,Alabama,55.49341,62.26075486,74.64084,98.40125,49.98029,2.26301927,2.32028,2.06834,3.17676
63,1125,Tuscaloosa County,1,AL,Alabama,55.1096,62.69223525,74.72664,99.8099,50.64303,2.31964645,2.38553,2.12264,3.30248
64,1127,Walker County,1,AL,Alabama,57.62927,61.27903828,73.67731,99.56492,48.85443,2.38096179,2.44713,2.17953,3.41317
65,1129,Washington County,1,AL,Alabama,59.56447,65.9716412,78.48953,99.86773,53.35753,2.19000062,2.19565,2.05884,2.8345
66,1131,Wilcox County,1,AL,Alabama,55.28818,65.01300023,76.95953,100.17283,53.02124,2.32733307,2.35233,2.18311,3.1117
67,1133,Winston County,1,AL,Alabama,58.48376,60.4829999,72.3142,98.37493,48.63232,2.48700027,2.53668,2.30514,3.43485
68,2013,Aleutians East Borough,2,AK,Alaska,54.78957297,,6.613725009,,1.334150935,,,,
69,2016,Aleutians West Census Area,2,AK,Alaska,24.15541176,,4.316357336,,-0.474979657,,,,
70,2020,Anchorage Municipality,2,AK,Alaska,63.83007402,,4.739896728,,-2.836341251,,,,
71,2050,Bethel Census Area,2,AK,Alaska,22.16600514,,3.222881925,,-4.905595338,,,,
72,2060,Bristol Bay Borough,2,AK,Alaska,23.61185083,,6.12398066,,-1.912808505,,,,
73,2068,Denali Borough,2,AK,Alaska,24.45167058,,1.516047449,,-9.092523111,,,,
74,2070,Dillingham Census Area,2,AK,Alaska,23.9346377,,4.248305223,,-3.465218252,,,,
75,2090,Fairbanks North Star Borough,2,AK,Alaska,16.38441627,,2.351218064,,-8.466876292,,,,
76,2100,Haines Borough,2,AK,Alaska,74.29413092,,4.563053098,,-3.414464942,,,,
77,2105,Hoonah-Angoon Census Area,2,AK,Alaska,115.9078323,,6.693344439,,-0.551442558,,,,
78,2110,Juneau City and Borough,2,AK,Alaska,128.3232471,,5.594743387,,-2.304696351,,,,
79,2122,Kenai Peninsula Borough,2,AK,Alaska,52.69123233,,5.338229501,,-3.351500993,,,,
80,2130,Ketchikan Gateway Borough,2,AK,Alaska,,,,,,,,,
81,2150,Kodiak Island Borough,2,AK,Alaska,79.37460786,,6.960338993,,0.612995832,,,,
82,2158,Kusilvak Census Area,2,AK,Alaska,17.42417969,,2.328592154,,-5.008575106,,,,
83,2164,Lake and Peninsula Borough,2,AK,Alaska,37.01379278,,5.694755511,,-2.155709615,,,,
84,2170,Matanuska-Susitna Borough,2,AK,Alaska,35.04384238,,2.486361708,,-7.43112615,,,,
85,2180,Nome Census Area,2,AK,Alaska,18.74158439,,-0.119503193,,-7.698556425,,,,
86,2185,North Slope Borough,2,AK,Alaska,8.885944574,,-5.68840162,,-13.67900774,,,,
87,2188,Northwest Arctic Borough,2,AK,Alaska,16.41221767,,-1.634512883,,-10.20223431,,,,
88,2195,Petersburg Borough,2,AK,Alaska,127.8400007,,7.317691109,,-0.009446169,,,,
89,2198,Prince of Wales-Hyder Census Area,2,AK,Alaska,134.4964673,,9.569291669,,3.269679403,,,,
90,2220,Sitka City and Borough,2,AK,Alaska,138.6270035,,8.641261475,,2.273850712,,,,
91,2230,Skagway Municipality,2,AK,Alaska,50.98326559,,2.42988354,,-6.283931542,,,,
92,2240,Southeast Fairbanks Census Area,2,AK,Alaska,18.44097005,,1.088516176,,-10.31992006,,,,
93,2261,Valdez-Cordova Census Area,2,AK,Alaska,58.68607053,,2.658303335,,-8.450711268,,,,
94,2275,Wrangell City and Borough,2,AK,Alaska,104.40976,,9.083985005,,2.274202545,,,,
95,2282,Yakutat City and Borough,2,AK,Alaska,103.6970909,,5.050915436,,-4.366546115,,,,
96,2290,Yukon-Koyukuk Census Area,2,AK,Alaska,15.35808583,,0.582311266,,-9.307931583,,,,
97,4001,Apache County,4,AZ,Arizona,13.37192,50.25668954,65.90248,95.32775,34.52203,2.66803007,2.79347,2.42831,3.06748
98,4003,Cochise County,4,AZ,Arizona,14.56269,60.73767676,76.85186,102.49755,44.48111,2.5216162,2.70842,2.22293,2.95058
99,4005,Coconino County,4,AZ,Arizona,13.08503,52.45579679,67.36782,98.10927,37.52671,2.58315449,2.70673,2.348,3.04137
100,4007,Gila County,4,AZ,Arizona,20.5158,58.15412139,73.73631,101.85598,42.61126,2.54667733,2.68491,2.29205,3.03821
101,4009,Graham County,4,AZ,Arizona,15.12539,59.05332176,75.30268,102.32959,42.84221,2.48456762,2.64716,2.2102,2.94221
102,4011,Greenlee County,4,AZ,Arizona,17.45088,55.03576547,71.93472,98.82924,37.55477,2.50639639,2.68069,2.21941,2.89735
103,4012,La Paz County,4,AZ,Arizona,6.11916,70.41300331,85.48354,113.9277,55.35543,2.37207904,2.43944,2.21148,2.73507
104,4013,Maricopa County,4,AZ,Arizona,9.15102,69.80718112,85.455,112.91354,54.19904,2.375235,2.45024,2.20402,2.81655
105,4015,Mohave County,4,AZ,Arizona,10.9078,61.09670762,75.78783,106.45427,46.49156,2.50120526,2.61934,2.2764,3.1403
106,4017,Navajo County,4,AZ,Arizona,11.30204,52.47411674,67.64069,97.82394,37.26264,2.66913983,2.79096,2.42906,2.95727
107,4019,Pima County,4,AZ,Arizona,11.93104,68.02798959,82.70618,108.59758,53.29011,2.50006977,2.56749,2.31973,2.78412
108,4021,Pinal County,4,AZ,Arizona,12.23546,67.93339242,83.37306,110.40307,52.52646,2.36761071,2.4682,2.15967,2.84337
109,4023,Santa Cruz County,4,AZ,Arizona,18.02725,60.2318182,76.65819,101.61898,43.74081,2.45454558,2.59199,2.20781,2.77127
110,4025,Yavapai County,4,AZ,Arizona,16.60865,58.05971371,74.20695,102.8709,41.93285,2.52938923,2.64899,2.30293,3.03171
111,4027,Yuma County,4,AZ,Arizona,4.52441,71.7680225,86.73576,113.43242,56.7302,2.44805098,2.48735,2.3223,2.75503
112,5001,Arkansas County,5,AR,Arkansas,50.58978,62.63405781,73.23751,100.76759,52.01262,2.38231863,2.48117,2.18063,3.29388
113,5003,Ashley County,5,AR,Arkansas,54.61094,63.51177449,75.38108,100.93089,51.58107,2.39032254,2.51123,2.1527,3.16046
114,5005,Baxter County,5,AR,Arkansas,43.74258,58.08236855,70.3952,101.30055,45.79994,2.7026319,2.79411,2.48961,3.11383
115,5007,Benton County,5,AR,Arkansas,45.05243,57.98813577,69.631,100.98461,46.38887,2.53559313,2.60482,2.37877,3.18132
116,5009,Boone County,5,AR,Arkansas,44.06018,57.84238125,69.79514,100.7346,45.88686,2.69976198,2.78546,2.50227,3.26146
117,5011,Bradley County,5,AR,Arkansas,53.83421,63.02487183,74.85927,101.41675,51.16364,2.44897382,2.5553,2.21235,3.05109
118,5013,Calhoun County,5,AR,Arkansas,52.9637,62.88690494,74.88556,101.54143,50.9079,2.50714312,2.61535,2.27207,3.19449
119,5015,Carroll County,5,AR,Arkansas,44.85531,58.20119031,69.36553,100.20975,46.91312,2.75857135,2.80524,2.59432,3.26359
120,5017,Chicot County,5,AR,Arkansas,53.24056,64.01931841,75.13142,100.92602,52.87764,2.52977224,2.61649,2.31546,3.34344
121,5019,Clark County,5,AR,Arkansas,52.32603,62.53465501,74.48655,102.15396,50.43488,2.6324138,2.72997,2.39674,3.2269
122,5021,Clay County,5,AR,Arkansas,46.50808,59.62608686,70.70241,101.46966,48.48724,2.47652186,2.58475,2.2615,3.36141
123,5023,Cleburne County,5,AR,Arkansas,49.62265,58.97735326,70.96731,101.32192,46.93959,2.41205889,2.52978,2.20816,3.28837
124,5025,Cleveland County,5,AR,Arkansas,51.09804,62.84026317,74.50822,101.76549,51.17803,2.55289479,2.65413,2.32384,3.34031
125,5027,Columbia County,5,AR,Arkansas,51.28792,63.71999985,75.56577,101.67838,51.82266,2.56899978,2.67732,2.33839,2.91749
126,5029,Conway County,5,AR,Arkansas,48.25989,61.06756767,72.93568,103.09085,48.98039,2.50351303,2.61403,2.27023,3.34829
127,5031,Craighead County,5,AR,Arkansas,48.30523,60.86217416,71.41399,101.10914,50.19611,2.56239136,2.67124,2.34677,3.39716
128,5033,Crawford County,5,AR,Arkansas,48.43412,59.56263191,71.75282,101.99775,47.26596,2.66736833,2.78114,2.43919,3.03689
129,5035,Crittenden County,5,AR,Arkansas,50.62993,61.78975612,72.03286,99.80225,51.48381,2.56219501,2.65524,2.36464,3.48113
130,5037,Cross County,5,AR,Arkansas,49.93842,61.34066679,72.05597,100.3894,50.58073,2.44777781,2.55961,2.22746,3.36975
131,5039,Dallas County,5,AR,Arkansas,51.62156,62.26421055,74.35785,102.08328,50.15542,2.64842064,2.75496,2.40946,3.52859
132,5041,Desha County,5,AR,Arkansas,52.27838,63.25482144,74.12756,100.58186,52.37409,2.50446394,2.5963,2.29834,3.3328
133,5043,Drew County,5,AR,Arkansas,53.27953,63.2188709,74.69255,101.02901,51.70539,2.52193531,2.61638,2.30143,3.19442
134,5045,Faulkner County,5,AR,Arkansas,48.9836,61.0790698,72.83205,102.72208,49.41033,2.51418571,2.63941,2.28601,3.22893
135,5047,Franklin County,5,AR,Arkansas,48.15047,59.9904881,71.87527,102.19408,47.93402,2.67853667,2.78351,2.45634,3.09268
136,5049,Fulton County,5,AR,Arkansas,44.82351,57.56790685,70.28291,101.08152,44.81592,2.61837183,2.73837,2.38315,3.3207
137,5051,Garland County,5,AR,Arkansas,53.6115,60.80772721,72.9467,102.30361,48.38062,2.48545438,2.56596,2.26857,3.32339
138,5053,Grant County,5,AR,Arkansas,51.77726,62.24534873,74.22447,102.19425,50.26487,2.72999999,2.82815,2.48959,3.40753
139,5055,Greene County,5,AR,Arkansas,45.9469,60.28474989,71.05148,100.94876,49.41601,2.49924984,2.61042,2.27534,3.42048
140,5057,Hempstead County,5,AR,Arkansas,51.53551,62.77272719,74.44256,101.89029,51.09964,2.55295484,2.64628,2.34363,3.18799
141,5059,Hot Spring County,5,AR,Arkansas,52.60543,61.88536611,74.14873,102.2458,49.62358,2.62926884,2.73308,2.38997,3.31372
142,5061,Howard County,5,AR,Arkansas,53.46718,61.60799999,73.52962,101.26751,49.85443,2.54775009,2.65434,2.31893,3.24488
143,5063,Independence County,5,AR,Arkansas,47.44941,59.87568627,71.79471,102.23101,47.98056,2.55647039,2.67428,2.32367,3.54764
144,5065,Izard County,5,AR,Arkansas,45.32592,58.43081098,71.34269,101.97221,45.49148,2.56486522,2.69029,2.33402,3.29569
145,5067,Jackson County,5,AR,Arkansas,48.67711,60.96486519,71.85114,102.1158,50.02157,2.46918931,2.58665,2.24942,3.4556
146,5069,Jefferson County,5,AR,Arkansas,50.50018,63.03709664,73.90976,101.73495,52.13513,2.65032264,2.74152,2.4304,3.46082
147,5071,Johnson County,5,AR,Arkansas,49.34398,59.01292661,70.70154,100.92505,47.44523,2.58536595,2.67704,2.38371,3.08601
148,5073,Lafayette County,5,AR,Arkansas,50.64944,63.78250006,75.5825,102.32353,51.97249,2.65750026,2.75298,2.43268,3.09018
149,5075,Lawrence County,5,AR,Arkansas,47.19541,60.12804869,71.67713,102.26101,48.61238,2.44780498,2.57403,2.22345,3.39719
150,5077,Lee County,5,AR,Arkansas,51.32019,61.7141465,72.42278,100.22288,51.04096,2.4429271,2.5463,2.24396,3.30176
151,5079,Lincoln County,5,AR,Arkansas,51.65028,63.40176448,74.56249,101.54788,52.23521,2.6205883,2.70587,2.40027,3.36144
152,5081,Little River County,5,AR,Arkansas,49.08884,63.69615389,75.26942,102.34386,52.13271,2.62051332,2.72219,2.40732,3.3512
153,5083,Logan County,5,AR,Arkansas,47.35317,60.72377374,72.79566,103.2728,48.89247,2.67207545,2.77522,2.45579,3.09541
154,5085,Lonoke County,5,AR,Arkansas,48.87039,62.16960765,72.85175,101.17799,51.50441,2.65549102,2.75434,2.42985,3.21172
155,5087,Madison County,5,AR,Arkansas,47.86591,57.32894723,68.44993,98.8511,46.30231,2.57929812,2.63712,2.41686,2.97495
156,5089,Marion County,5,AR,Arkansas,43.98699,58.16232557,70.9293,101.88473,45.31154,2.66046506,2.76467,2.43789,3.21199
157,5091,Miller County,5,AR,Arkansas,48.96202,64.37555542,75.52383,102.20855,53.16357,2.69777849,2.7782,2.49176,3.18137
158,5093,Mississippi County,5,AR,Arkansas,49.36366,60.69921893,71.11877,100.74444,50.2567,2.54234356,2.64396,2.33124,3.52545
159,5095,Monroe County,5,AR,Arkansas,49.65197,61.82000006,72.60989,101.01642,51.01209,2.36380958,2.45719,2.14612,3.34748
160,5097,Montgomery County,5,AR,Arkansas,54.63892,59.32660373,71.95155,101.0224,46.69325,2.43830202,2.55484,2.20549,3.26065
161,5099,Nevada County,5,AR,Arkansas,51.91453,63.05950003,74.82367,102.09847,51.2816,2.59324922,2.6877,2.37019,3.10086
162,5101,Newton County,5,AR,Arkansas,48.45979,57.04307681,68.20273,98.53048,45.80394,2.54192308,2.60635,2.35627,3.10678
163,5103,Ouachita County,5,AR,Arkansas,52.3425,63,75.06684,101.9196,50.93154,2.57122429,2.67675,2.33843,3.31604
164,5105,Perry County,5,AR,Arkansas,49.46968,60.58594616,72.65912,102.27428,48.70259,2.49216234,2.57899,2.28444,3.32008
165,5107,Phillips County,5,AR,Arkansas,51.95185,62.26777785,72.90664,100.43233,51.57918,2.33711157,2.42543,2.13505,3.24757
166,5109,Pike County,5,AR,Arkansas,54.86879,60.96047619,73.06432,101.13601,48.96377,2.43285734,2.53193,2.21121,3.1527
167,5111,Poinsett County,5,AR,Arkansas,49.07851,61.01125018,71.62193,100.7138,50.34036,2.50583339,2.6222,2.29351,3.41106
168,5113,Polk County,5,AR,Arkansas,56.35215,59.76480777,71.68192,100.16123,47.82871,2.66942303,2.79009,2.42467,3.25205
169,5115,Pope County,5,AR,Arkansas,49.72538,59.50157888,71.51278,101.33347,47.86173,2.51912275,2.61779,2.30669,3.22184
170,5117,Prairie County,5,AR,Arkansas,49.34965,62.04780495,72.74808,101.4382,51.34648,2.47365858,2.5718,2.25656,3.27915
171,5119,Pulaski County,5,AR,Arkansas,50.10522,62.3122223,73.12796,102.02693,51.44811,2.74796232,2.83534,2.52953,3.34178
172,5121,Randolph County,5,AR,Arkansas,46.54801,58.9517779,70.7476,101.51978,47.07244,2.54666655,2.6662,2.31647,3.52162
173,5123,St. Francis County,5,AR,Arkansas,51.14127,61.59538445,72.23821,100.05128,50.8711,2.47564101,2.57173,2.26216,3.35909
174,5125,Saline County,5,AR,Arkansas,52.71044,61.61529421,73.53386,101.80486,49.80587,2.60901941,2.70065,2.39933,3.13456
175,5127,Scott County,5,AR,Arkansas,50.16038,60.3245614,72.79694,102.48529,47.69306,2.61859647,2.74956,2.37398,3.11866
176,5129,Searcy County,5,AR,Arkansas,45.981,57.63410285,70.16718,100.73538,44.89599,2.58256433,2.6919,2.36247,3.33536
177,5131,Sebastian County,5,AR,Arkansas,45.86151,61.13297261,73.15757,103.61042,49.13043,2.80081095,2.92345,2.5604,3.16016
178,5133,Sevier County,5,AR,Arkansas,51.51239,62.53600035,74.70758,102.58754,50.36335,2.56550035,2.69143,2.33364,3.21934
179,5135,Sharp County,5,AR,Arkansas,46.10185,58.65999995,71.52141,102.12053,45.82717,2.48432438,2.62119,2.24756,3.43896
180,5137,Stone County,5,AR,Arkansas,47.42632,57.99425523,70.47006,101.19258,45.60414,2.57063788,2.67662,2.35509,3.43417
181,5139,Union County,5,AR,Arkansas,53.83682,63.67611106,75.47301,101.25617,51.82176,2.54777766,2.66097,2.30425,2.95247
182,5141,Van Buren County,5,AR,Arkansas,49.64538,58.40549005,70.53582,100.71021,46.28572,2.49588245,2.59821,2.27338,3.37475
183,5143,Washington County,5,AR,Arkansas,47.47706,57.57828099,69.11034,99.75346,46.07695,2.46531248,2.54373,2.28291,3.0531
184,5145,White County,5,AR,Arkansas,49.89009,61.02082192,72.59296,102.17321,49.52828,2.49095912,2.61664,2.25812,3.29945
185,5147,Woodruff County,5,AR,Arkansas,49.47847,61.56054069,72.41297,101.40023,50.68851,2.47108119,2.58154,2.24896,3.29438
186,5149,Yell County,5,AR,Arkansas,49.04055,60.32719281,72.36525,102.54798,48.11224,2.55421073,2.65736,2.34433,3.31825
187,6001,Alameda County,6,CA,California,18.98139,58.18796299,69.01745,98.076,46.90373,1.786296,1.82194,1.73247,2.42032
188,6003,Alpine County,6,CA,California,47.12021,41.13176466,55.21014,85.30895,27.24281,2.4427449,2.57144,2.22148,3.02976
189,6005,Amador County,6,CA,California,35.28814,55.40300007,69.3276,100.81157,42.76416,2.15300016,2.2605,1.95512,3.25295
190,6007,Butte County,6,CA,California,43.6198,58.44568966,71.80827,103.69421,45.4581,2.14362066,2.21025,1.97574,2.92444
191,6009,Calaveras County,6,CA,California,34.00586,56.82138888,70.01603,101.66623,43.4412,2.15972233,2.26869,1.96268,3.35378
192,6011,Colusa County,6,CA,California,20.96057,59.53712492,73.77548,106.09033,45.42433,1.91312489,1.9683,1.7765,2.80961
193,6013,Contra Costa County,6,CA,California,19.25599,59.9190909,71.58029,102.04629,48.20981,1.86763624,1.91175,1.78789,2.77436
194,6015,Del Norte County,6,CA,California,101.34319,47.50329264,56.85254,81.59597,37.19526,1.63487797,1.63281,1.60601,1.97133
195,6017,El Dorado County,6,CA,California,44.25591,52.13195112,64.65025,95.69502,39.14575,2.22276406,2.31897,2.03095,3.24931
196,6019,Fresno County,6,CA,California,21.51097,55.05588524,68.19452,98.18341,41.67082,2.18895265,2.2774,2.03048,3.18375
197,6021,Glenn County,6,CA,California,24.77941,58.05787871,72.32089,104.71075,44.15978,2.11111115,2.15972,1.97179,2.68717
198,6023,Humboldt County,6,CA,California,74.65509,50.35055969,60.59015,89.06455,39.49918,1.79093276,1.81113,1.72924,2.29246
199,6025,Imperial County,6,CA,California,2.90712,72.2616152,87.37806,114.26431,57.17601,2.22408969,2.2638,2.10327,2.43458
200,6027,Inyo County,6,CA,California,7.17705,58.50187691,73.53947,104.4352,43.45406,2.43917421,2.5606,2.21753,3.20314
201,6029,Kern County,6,CA,California,9.08535,60.74393889,74.49006,104.50616,46.98089,2.12091722,2.21215,1.93475,2.81105
202,6031,Kings County,6,CA,California,7.86039,63.43870598,77.27373,107.85637,49.53143,1.95576464,2.03053,1.7998,2.77599
203,6033,Lake County,6,CA,California,41.5376,53.91443162,68.72294,101.73894,38.70448,1.81170441,1.85315,1.71509,2.27416
204,6035,Lassen County,6,CA,California,17.31638,44.96081077,60.22051,94.40934,29.70691,2.42813816,2.4875,2.26798,3.25203
205,6037,Los Angeles County,6,CA,California,16.8719,60.93678089,73.4127,100.70585,48.58735,2.24736316,2.38598,2.16081,2.83396
206,6039,Madera County,6,CA,California,25.7172,55.26744825,69.03693,99.35743,41.26801,2.25710362,2.37377,2.07372,3.22867
207,6041,Marin County,6,CA,California,37.81831,57.49038491,69.50511,98.63363,45.20084,1.50307692,1.49052,1.46624,1.8321
208,6043,Mariposa County,6,CA,California,33.01126,53.35260006,67.56731,98.21943,39.42181,2.27269981,2.41573,2.06816,3.16948
209,6045,Mendocino County,6,CA,California,55.96354,52.67638777,65.9858,97.28362,39.31435,1.68258544,1.68564,1.62226,1.93458
210,6047,Merced County,6,CA,California,11.7621,61.6528031,75.38484,105.44958,47.86213,2.10484855,2.19461,1.95723,2.91894
