STATE,COUNTY,STATE_FIPS,COUNTY_FIPS,Population,Inflow_pc,Inflow_gross,Outflow_pc,Outflow_gross
Alabama,Autauga County,01,001,4099650.0,0.12588879538497189,5161.0,0.11074220730183185,4675.0
Alabama,Baldwin County,01,003,43377750.0,0.02644443291779772,11471.0,0.02554247911758579,9817.0
Alabama,Barbour County,01,005,1654904.0,0.10447735941178463,1729.0,0.12163729247616985,1651.0
Alabama,Bibb County,01,007,737847.0,0.26468902089457574,1953.0,0.24937064227438677,1892.0
Alabama,Blount County,01,009,3029321.0,0.08922791609076754,2703.0,0.11548776297356592,3408.0
Alabama,Bullock County,01,011,319650.0,0.15954950727358047,510.0,0.23317066496396974,818.0
Alabama,Butler County,01,013,666732.0,0.08579159242394246,572.0,0.16303005351996708,1188.0
Alabama,Calhoun County,01,015,15101156.0,0.055028899774295426,8310.0,0.043225289420579516,5596.0
Alabama,Chambers County,01,017,1590527.0,0.10713430202693826,1704.0,0.10841460921433985,1803.0
Alabama,Cherokee County,01,019,1032080.0,0.09456631268893885,976.0,0.11049696922598694,910.0
Alabama,Chilton County,01,021,1731560.0,0.09505879091686109,1646.0,0.10742534822243807,2066.0
Alabama,Choctaw County,01,023,504298.0,0.09498352164791453,479.0,0.24836479821561908,775.0
Alabama,Clarke County,01,025,946466.0,0.06011837720530901,569.0,0.12487374730653386,1381.0
Alabama,Clay County,01,027,281904.0,0.18339576593450252,517.0,0.2412555779425969,552.0
Alabama,Cleburne County,01,029,327184.0,0.22005966061910118,720.0,0.1624014393421866,649.0
Alabama,Coffee County,01,031,6938778.0,0.07103556274606278,4929.0,0.09057954117005967,4370.0
Alabama,Colbert County,01,033,3405087.0,0.0926261208597607,3154.0,0.08713322989277691,2709.0
Alabama,Conecuh County,01,035,164398.0,0.11496490224941909,189.0,0.41225416036308626,763.0
Alabama,Coosa County,01,037,207993.0,0.4346300115869284,904.0,0.45981273755446367,744.0
Alabama,Covington County,01,039,2175580.0,0.07409518381305215,1612.0,0.07746035158757887,1297.0
Alabama,Crenshaw County,01,041,441568.0,0.19294876440321762,852.0,0.15582475052030523,438.0
Alabama,Cullman County,01,043,5540838.0,0.05692279759848601,3154.0,0.05059068384611007,2791.0
Alabama,Dale County,01,045,7728168.0,0.07600766442965526,5874.0,0.08932247889239371,4729.0
Alabama,Dallas County,01,047,2457114.0,0.05990768031112924,1472.0,0.08906642319105226,1951.0
Alabama,DeKalb County,01,049,4416300.0,0.0865656771505559,3823.0,0.07110675725318481,3368.0
Alabama,Elmore County,01,051,8857023.0,0.07896558471170279,6994.0,0.09197966378044163,6650.0
Alabama,Escambia County,01,053,1578360.0,0.07488785828328139,1182.0,0.0945776888596309,1543.0
Alabama,Etowah County,01,055,10468974.0,0.04585931725496691,4801.0,0.05332803152099079,4474.0
Alabama,Fayette County,01,057,569908.0,0.1208967061350253,689.0,0.1881401237278854,694.0
Alabama,Franklin County,01,059,1382392.0,0.16919947453399614,2339.0,0.11555470061991291,1670.0
Alabama,Geneva County,01,061,870672.0,0.14414153665214915,1255.0,0.17231566038363216,1762.0
Alabama,Greene County,01,063,111358.0,0.23886923256524004,266.0,0.20317385996889686,243.0
Alabama,Hale County,01,065,391014.0,0.08925511618509822,349.0,0.2604645461788319,850.0
Alabama,Henry County,01,067,579360.0,0.16121237227285282,934.0,0.3240365698414535,1176.0
Alabama,Houston County,01,069,25271805.0,0.020829537106668874,5264.0,0.04626722526178178,6008.0
Alabama,Jackson County,01,071,3301389.0,0.04837357851498263,1597.0,0.0737791932059448,1946.0
Alabama,Jefferson County,01,073,225007260.0,0.014964850467491582,33672.0,0.012371606902809919,31770.0
Alabama,Lamar County,01,075,391692.0,0.1856050161861871,727.0,0.23771904625107726,662.0
Alabama,Lauderdale County,01,077,9071667.0,0.05683630142067604,5156.0,0.06351743223808116,4874.0
Alabama,Lawrence County,01,079,1097976.0,0.1455405218328998,1598.0,0.18368712365427894,1208.0
Alabama,Lee County,01,081,33293454.0,0.05250882050267299,17482.0,0.037181154309751246,11396.0
Alabama,Limestone County,01,083,6773690.0,0.06979947414186359,4728.0,0.055006331603683574,3932.0
Alabama,Lowndes County,01,085,233354.0,0.1572717844990872,367.0,0.3140433405871698,723.0
Alabama,Macon County,01,087,1710024.0,0.09596356542364318,1641.0,0.203279657261043,2064.0
Alabama,Madison County,01,089,109480640.0,0.018020537695066452,19729.0,0.015618329898827688,17184.0
Alabama,Marengo County,01,091,707140.0,0.12897021806148712,912.0,0.12413793103448277,1008.0
Alabama,Marion County,01,093,1596519.0,0.08812923616944114,1407.0,0.13374026685448215,1709.0
Alabama,Marshall County,01,095,12107290.0,0.04055407940174886,4910.0,0.06521512336458347,5501.0
Alabama,Mobile County,01,097,104316675.0,0.012117909241259847,12641.0,0.01391229646905398,16130.0
Alabama,Monroe County,01,099,638986.0,0.11283502298954906,721.0,0.1318207034848508,518.0
Alabama,Montgomery County,01,101,63290192.0,0.027828956499294552,17613.0,0.028555686263075277,13985.0
Alabama,Morgan County,01,103,12913230.0,0.043126313091302486,5569.0,0.04318322209150689,5738.0
Alabama,Perry County,01,105,366300.0,0.1635271635271635,599.0,0.3204810109831944,775.0
Alabama,Pickens County,01,107,765648.0,0.10161327398491213,778.0,0.1612801810865191,1026.0
Alabama,Pike County,01,109,2686484.0,0.08736325993380195,2347.0,0.11832651417800681,1872.0
Alabama,Randolph County,01,111,893840.0,0.09095587577195023,813.0,0.17366402058813568,1436.0
Alabama,Russell County,01,113,4303425.0,0.12552792252682457,5402.0,0.0916949509759313,5421.0
Alabama,Shelby County,01,117,38641728.0,0.040119841431521905,15503.0,0.036366909278162725,13556.0
Alabama,St. Clair County,01,115,5098320.0,0.10034678090037503,5116.0,0.06967920380132858,4716.0
Alabama,Sumter County,01,119,359262.0,0.1781429708680573,640.0,0.3175674033014854,1045.0
Alabama,Talladega County,01,121,6782748.0,0.07150494165491628,4850.0,0.07829343180180519,5411.0
Alabama,Tallapoosa County,01,123,1907260.0,0.08871365204534254,1692.0,0.09046008453276771,2509.0
Alabama,Tuscaloosa County,01,125,52833426.0,0.03078543496308568,16265.0,0.023534288831660036,9869.0
Alabama,Walker County,01,127,4556020.0,0.07135613978867521,3251.0,0.0572756080849606,2354.0
Alabama,Washington County,01,129,488389.0,0.11056760082639044,540.0,0.2544485337273776,737.0
Alabama,Wilcox County,01,131,219960.0,0.17685033642480452,389.0,0.3312384567212479,1042.0
Alabama,Winston County,01,133,716460.0,0.1302235993635374,933.0,0.17648986357875665,1465.0
Alaska,Aleutians East Borough,02,013,170612.0,0.2637563594588892,450.0,1.134621281815394,444.0
Alaska,Aleutians West Census Area,02,016,400156.0,0.1586881116364618,635.0,0.33576764878703935,400.0
Alaska,Anchorage Municipality,02,020,102571260.0,0.021010758764199642,21551.0,0.022849136694258948,47078.0
Alaska,Bethel Census Area,02,050,662378.0,0.09813127851468496,650.0,0.17634003815180052,905.0
Alaska,Bristol Bay Borough,02,060,22218.0,0.5175983436853002,115.0,1.2379502790461694,244.0
Alaska,Denali Borough,02,068,56952.0,0.6285995224048322,358.0,1.3119308535267789,680.0
Alaska,Dillingham Census Area,02,070,156064.0,0.1723651835144556,269.0,0.2699335548172757,208.0
Alaska,Fairbanks North Star Borough,02,090,25284774.0,0.05028718073572657,12715.0,0.04933301545918089,14992.0
Alaska,Haines Borough,02,100,40608.0,0.4949763593380615,201.0,0.6399910957760588,230.0
Alaska,Hoonah-Angoon Census Area,02,105,43932.0,0.26404443230447056,116.0,1.020145735105015,357.0
Alaska,Juneau City and Borough,02,110,3250685.0,0.0608794761719453,1979.0,0.0948134411461245,3129.0
Alaska,Kenai Peninsula Borough,02,122,8481000.0,0.04969932790944464,4215.0,0.07467395877156079,7100.0
Alaska,Ketchikan Gateway Borough,02,130,1218780.0,0.09443870099607804,1151.0,0.18685460050568728,1362.0
Alaska,Kodiak Island Borough,02,150,940953.0,0.13985820758316303,1316.0,0.2746055140549982,2778.0
Alaska,Kusilvak Census Area,02,158,154560.0,0.1669254658385093,258.0,0.45159112011479696,428.0
Alaska,Lake and Peninsula Borough,02,164,17436.0,0.3899977058958477,68.0,1.2166695093524362,214.0
Alaska,Matanuska-Susitna Borough,02,170,18140607.0,0.0395686869794379,7178.0,0.04341118935300803,8485.0
Alaska,Nome Census Area,02,180,560106.0,0.08819759117024277,494.0,0.31375149300920396,1429.0
Alaska,North Slope Borough,02,185,560441.0,0.16843878302979262,944.0,0.1844749952918215,431.0
Alaska,Northwest Arctic Borough,02,188,294333.0,0.12298994676098161,362.0,0.3504965367604106,630.0
Alaska,Petersburg Borough,02,195,107984.0,0.16576529856275002,179.0,0.6066120715802245,300.0
Alaska,Prince of Wales-Hyder Census Area,02,198,294173.0,0.14107344997671437,415.0,0.34661461838740076,412.0
Alaska,Sitka City and Borough,02,220,521914.0,0.16995137129871973,887.0,0.351357733175915,1116.0
Alaska,Skagway Municipality,02,230,36408.0,0.32135794330916284,117.0,1.5086206896551724,119.0
Alaska,Southeast Fairbanks Census Area,02,240,269529.0,0.22706276504569084,612.0,0.47278370807782566,1249.0
Alaska,Valdez-Cordova Census Area,02,261,380920.0,0.26646014911267457,1015.0,0.3947424938791289,2757.0
Alaska,Wrangell City and Borough,02,275,77979.0,0.21031303299606305,164.0,0.6212664277180406,312.0
Alaska,Yakutat City and Borough,02,282,8806.0,0.7040654099477629,62.0,0.9745762711864407,23.0
Alaska,Yukon-Koyukuk Census Area,02,290,233814.0,0.12702404475352203,297.0,0.4615522495070802,309.0
Arizona,Apache County,04,001,5262806.0,0.050581381871191905,2662.0,0.08284707140376336,4599.0
Arizona,Cochise County,04,003,31897149.0,0.043286000262907506,13807.0,0.04412166940185993,10582.0
Arizona,Coconino County,04,005,25118556.0,0.05829554851799602,14643.0,0.04174699510421603,10791.0
Arizona,Gila County,04,007,2479203.0,0.13419635261815993,3327.0,0.15491248664547527,4698.0
Arizona,Graham County,04,009,2284142.0,0.13260996908248263,3029.0,0.13085308807488027,2933.0
Arizona,Greenlee County,04,011,222475.0,0.3640858523429599,810.0,0.36553225621634006,638.0
Arizona,La Paz County,04,012,747622.0,0.1210504773802804,905.0,0.15821859439227348,1515.0
Arizona,Maricopa County,04,013,4054821792.0,0.004904580526630453,198872.0,0.0033388800508061056,159214.0
Arizona,Mohave County,04,015,47217924.0,0.04090395842053539,19314.0,0.02967781278585222,14308.0
Arizona,Navajo County,04,017,9429995.0,0.07428423875092192,7005.0,0.04761606879760578,5785.0
Arizona,Pima County,04,019,557439735.0,0.01045673574023208,58290.0,0.00823875373226251,47515.0
Arizona,Pinal County,04,021,126706125.0,0.03517825203793423,44573.0,0.026826384003203578,30564.0
Arizona,Santa Cruz County,04,023,1536183.0,0.13819968063700744,2123.0,0.1961241904520811,2975.0
Arizona,Yavapai County,04,025,45876464.0,0.03729363274379647,17109.0,0.02225362336709534,11425.0
Arizona,Yuma County,04,027,46089700.0,0.030989570337841207,14283.0,0.025732617151257985,9197.0
Arkansas,Arkansas County,05,001,775992.0,0.14355818101217538,1114.0,0.16952725082806383,1126.0
Arkansas,Ashley County,05,003,737485.0,0.07674732367437981,566.0,0.13840428006513142,952.0
Arkansas,Baxter County,05,005,2806644.0,0.07760157682983664,2178.0,0.06928605190209484,2319.0
Arkansas,Benton County,05,007,56935340.0,0.027295876339721515,15541.0,0.02397936431218259,13601.0
Arkansas,Boone County,05,009,2819663.0,0.09107471353846186,2568.0,0.09941462240704098,2586.0
Arkansas,Bradley County,05,011,155344.0,0.17831393552374086,277.0,0.28361920646726924,755.0
Arkansas,Calhoun County,05,013,98838.0,0.36929116331775225,365.0,0.7074081351935547,252.0
Arkansas,Carroll County,05,015,1613709.0,0.11464272678655196,1850.0,0.10838039453531538,1837.0
Arkansas,Chicot County,05,017,346735.0,0.20015285448541395,694.0,0.25401433366597115,532.0
Arkansas,Clark County,05,019,1714028.0,0.14346323397284058,2459.0,0.13129513270186627,1232.0
Arkansas,Clay County,05,021,503811.0,0.15640785929644252,788.0,0.2340910175883681,1373.0
Arkansas,Cleburne County,05,023,1195163.0,0.144248106743599,1724.0,0.14506138202931398,1577.0
